topic,branch,event,note,previous_event,final_event
乐透大作战,主线,两国协商,,利勇镐捡到彩票,
乐透大作战,主线,人质交换,,两国协商,
乐透大作战,主线,利勇镐捡到彩票,,朴灿宇获得彩票,
乐透大作战,主线,圆满结局,,计划泄漏,
乐透大作战,主线,彩票兑换,,人质交换,
乐透大作战,主线,朴灿宇获得彩票,,,
乐透大作战,主线,计划泄漏,,彩票兑换,
