topic,branch,event,note,previous_event,final_event
沙漠之王,主线,E01 沙漠之王,,,
沙漠之王,主线,E02 1 UP,,E01 沙漠之王,
沙漠之王,主线,E03 家庭旅行,,E02 1 UP,
沙漠之王,主线,E04 秘密,,E03 家庭旅行,
沙漠之王,主线,E05 正义的勇士,,E04 秘密,
沙漠之王,主线,E06 原谅,,E05 正义的勇士,
