topic,branch,event,note,previous_event,final_event
三国演义,主线,三国鼎立,,赤壁之战,
三国演义,主线,天下归魏,,三国鼎立,
三国演义,主线,官渡之战,,群雄割据,
三国演义,主线,群雄割据,,讨伐董卓,
三国演义,主线,讨伐董卓,,黄巾起义,
三国演义,主线,赤壁之战,,官渡之战,
三国演义,主线,黄巾起义,,,
