topic,name,weight,note,image_name
绝代双骄,李大嘴,0.00956538,外号“不吃人头”，嗜吃人肉，且特别爱好年轻少妇的肉，常说他的妻子是天下第一美味。当年曾为“惜才如命”铁家庄庄主铁无双赏识而收作女婿，但是他却将妻子杀而烹食，从此自白道中除名，受到铁无双为首的白道围剿却能不断脱险，反而将追杀者杀而食之，因此受到武林中人畏惧而名列“十大恶人”。外号“不吃人头”便是指他以人的全身除头之外都可食之而出名，受害者往往只能留下一颗头颅而已。事实上，李大嘴并不特别爱好人肉，甚至早已吃腻。他第一次吃人肉时，只是单纯好奇人肉的滋味，不料却在偶然间被一名对头撞见；这名对头武功虽比李大嘴还高，却因惧怕他吃人肉的景象而不战而逃，李大嘴因此才发现“吃人肉”可以给他带来的好处，自此特意营造自己“嗜吃人肉”的形象。李大嘴以并不特别出色的武功和较为直肠子的性格，却连在十大恶人之中也受到畏惧而不敢轻易与他冲突，都是多赖了这个名声。,
绝代双骄,杜杀,0.0312607,恶人谷中武功排名第一，双手戴着用淬过毒血的芒刺手套，因此人称“血手”。曾受挫于南天大侠路仲远的手上。为逃避他躲进恶人谷。燕南天闯入恶人谷中时，被燕南天打断右臂，后来在断腕上装了铁钩爪。性格冷酷寡言，手段狠毒，但亦有一身孤傲气概，是十大恶人中唯一敢与燕南天正面对决之人。一心培育小鱼儿成为最残酷完美的杀人凶器，在他小时候已逼着他杀野狗、豺狼和老虎，令他身上留下九十多条伤疤。饶是如此，杜杀却是众恶人中对养育成长的小鱼儿唯一懐有真挚感情的人；撇除掉他杀人不眨眼、为求杀人效率不惜用淬毒暗器、参与折磨已无反抗之力的燕南天之外，其实他也有重信义、重原则的一面。最后被十二星相中白山君的夫人马亦云和白开心算计，被马亦云暗算身亡。,
绝代双骄,柳玉如,0.0027638,外号“雪花刀”。,
绝代双骄,桃花,0.0149434,在大草原的游牧民族姑娘，脸若桃花，多情善变，热情纯朴。小鱼儿刚出恶人谷她便热情地相邀留宿。后来又爱上了挺身而出，女扮男装的铁心兰，日后得知铁心兰是女子之身时大受打击。,
绝代双骄,欧阳丁和欧阳当,0.0116213,外号“宁死不吃亏、拼命占便宜”，本是一对很瘦的孪生兄弟，为避逃入恶人谷的杜杀等人追债强行暴吃成两个胖子。宁死不吃亏的脾气，加上擅于二人扮作一人行骗，连精明如江别鹤也吃过他们的亏。将失忆的慕容九送到小鱼儿手中，却觉吃了亏而要占回，因此中了屠娇娇和小鱼儿的计谋。死于杜杀等人的折磨，临死前却骗他们到魏无牙的秘处送死，以为用两条人命换他们五六条人命，算是占了便宜不吃亏了。,
绝代双骄,段三姑,0.00511299,富商段合肥的女儿。因管理父亲生意作男子打扮。赏识小鱼儿，招到旗下药铺当掌柜。在金狮镖局一案中不断提供消息给小鱼儿，受小鱼儿影响要换回女装。在谋陷江别鹤计中，因妒忌慕容九的美貌没有依小鱼儿说话去做，令小鱼儿功败垂成。,
绝代双骄,段合肥,0.0027638,,
绝代双骄,江别鹤,0.0283075,小鱼儿江湖上的主要对头，也是当年江枫的书僮江琴。江枫视他如亲兄弟，但他一心要在江湖扬名立万，故极欲除去江枫。心狠手辣、精明能干，他在小鱼儿踏入江湖时已是人人称善的“江南大侠”。看似生活简朴、但广结人心；对付人的本领比十大恶人还厉害。他暗地里制造燕南天武经宝藏的谣言，设计江湖中人和峨嵋派自相残杀；先“保护”、后劫杀金狮镖局，名利双收。这些事虽被小鱼儿一一查出，但却在小鱼儿揭破他之时，在众人面前只用几句话便反过来栽赃到小鱼儿头上。最后燕南天重出江湖，废去江别鹤父子全身武功，押到小鱼儿面前。但小鱼儿仁慈地饶过了他们的性命，安排他们在顾家为仆，免他们一死。,
绝代双骄,江枫,0.0156076,江湖人称“玉郎”，其妻为“移花宫”邀月奴婢——花月奴。小鱼儿、花无缺之父。拥有绝代气派的天下第一神剑大侠燕南天​为其生平知友，性情相投，结拜为异姓兄弟，燕南天为兄，江枫为弟。,
绝代双骄,江玉郎,0.0334482,江别鹤之子。“玉郎”本是江枫的绰号。他自小受江别鹤“训练”，父子俩合谋江湖。面色苍白，纨裤子弟的模样。曾被十大恶人萧咪咪拐走虐待，在她手下忍气吞声，却在此时遇上江小鱼。从遇见小鱼儿当天开始和他勾心斗角，却处处受制于他。和小鱼儿一起得到《五绝神功》，但领悟的不比小鱼儿多。及后劫杀金狮镖局一事中作为主要执行者。骗女孩子有一手，铁萍姑便被他花言巧语地骗过，被他利用得苦不堪言。,
绝代双骄,沈轻虹,0.0218199,,
绝代双骄,海红珠,0.0149434,流浪杂技团团长海老爹独女，娇小灵活，像个小公主一般。小鱼儿躲避花无缺，化名“海小呆”混入杂技团，钻研《天下五绝神功》，海红珠却暗暗爱上他。小鱼儿后来多次救了她，却不肯与她相认。杂技团却原来是梅花门下乔装，擅用失传武器“梅花勾”。,
绝代双骄,燕南天,0.0654308,江湖人称“天下第一神剑”。第一美男子“玉郎”江枫之结拜大哥。虽然民间盛传他有一把媲美神物利器的宝剑以及搜集一些古玩珍宝，但平时他却用一把锈铁剑，打扮也像个穷汉一样。,
绝代双骄,猫头鹰,0.0027638,,
绝代双骄,献果神君,0.0224169,生肖猴，号献果，被燕南天挖去双眼，坠崖未死，和沈轻虹于山壁洞窟生活。结局被萧咪咪骗坠崖。,
绝代双骄,玉娘子,0.0027638,昔日江湖第一美人玉娘子。,
绝代双骄,王一抓,0.0027638,外号“视人如鸡”，瘦小枯干的老人，七十年前便已名扬天下淮南王家世代相传的“大力鹰爪神功”，“鹰爪门”的第一名家。,
绝代双骄,白山君,0.0027638,生肖虎，号山君，马亦云之夫，十二星相中武功仅次于魏无牙，曾与花无缺战成平手。最终将妻子马亦云让给白开心后离去。,
绝代双骄,白开心,0.00493649,外号“损人不利己”，一个地痞模样，却常常手持一个碧玉鼻烟壶。常常假装江湖泼皮，又喜欢挑拨离间，做“损人不利己”的事。连小鱼儿都受过他的欺骗。为人好色，曾觊觎苏樱美色，最后强行娶了十二星相的马亦云，两人合谋要杀光十大恶人。却被哈哈儿暗箭杀死。,
绝代双骄,白羊,0.0149434,生肖羊，号叱石，在慕容九妹秘密练功之冰洞外与黄牛一同出场，十二星相中最智。结局是被小鱼儿毒死。。,
