topic,branch,event,note,previous_event,final_event
饭戏攻心,主线,Monica搬进来,,大哥和喵喵在一起,
饭戏攻心,主线,三弟向猪猪求婚失败,,大哥和Monica解除误会,
饭戏攻心,主线,三弟和猪猪搬进来,,大哥和Monica分手,
饭戏攻心,主线,二弟和Monica在一起,,三弟和猪猪搬进来,
饭戏攻心,主线,全家吃饭,,大哥卖房,
饭戏攻心,主线,全家矛盾冲突,,三弟向猪猪求婚失败,
饭戏攻心,主线,大哥卖房,,全家矛盾冲突,
饭戏攻心,主线,大哥和Monica分手,,,
饭戏攻心,主线,大哥和Monica解除误会,,Monica搬进来,
饭戏攻心,主线,大哥和喵喵在一起,,二弟和Monica在一起,
