topic,source,target,relation,note
"GODD LUCK TO YOU, LEO GRANDE",Matthew,Pamela,Grandfather,
"GODD LUCK TO YOU, LEO GRANDE",Nancy Stokes,Becky Foster,Student,
"GODD LUCK TO YOU, LEO GRANDE",Nancy Stokes,Leo Grande,Pay,
"GODD LUCK TO YOU, LEO GRANDE",Nancy Stokes,Pamela,Mother,
"GODD LUCK TO YOU, LEO GRANDE",Robert,Nancy Stokes,Husband,
