topic,name,weight,note,image_name
造梦的雨果,乔治,0.109941,原名乔治·梅里爱，老爷爷，电影制作人。,
造梦的雨果,伊莎贝拉,0.1085,,
造梦的雨果,克劳德,0.0366284,雨果的伯伯，父亲死后照顾我，喜欢喝酒，修钟人。,
造梦的雨果,埃提纳,0.110442,在影剧院工作。,
造梦的雨果,埃米尔,0.0637017,太太，讨论看钟老人的死亡，发现雨果偷牛奶。,
造梦的雨果,安东尼,0.0366284,雨果的老朋友。,
造梦的雨果,弗里克,0.0637017,买报纸的人，和埃米尔太太聊天。,
造梦的雨果,热内·塔巴尔,0.0593317,埃提纳的老师，写《月球环游记》这本书的作者，想要拜访乔治爷爷。,
造梦的雨果,莫里哀,0.0600974,夫人，电影学院前台工作人员，拒绝雨果直接进入电影学院。,
造梦的雨果,让娜,0.0589191,,
造梦的雨果,路易,0.0366284,雨果的老朋友。,
造梦的雨果,雨果·卡布莱,0.25548,最后成为魔术师，阿克弗里斯巴。,
