topic,name,weight,note,image_name
The Fire Within: Requiem for Katia and Maurice Krafft,Harry Glicken,0.131081,The friend and colleague of Krafft couple.,Harry Glicken.png
The Fire Within: Requiem for Katia and Maurice Krafft,Jacques Cousteau,0.131081,World-renowned underwater film maker.,
The Fire Within: Requiem for Katia and Maurice Krafft,Katia Krafft,0.131081,,Katia Krafft.png
The Fire Within: Requiem for Katia and Maurice Krafft,Maurice Krafft,0.475677,,Maurice Krafft.png
The Fire Within: Requiem for Katia and Maurice Krafft,Roland Haas,0.131081,Formed a company with Maurice and shot for the early videos.,
